,Quote,Author,Main Tag,Other Tags
0,"“To the well-organized mind, death is but the next great adventure.”","― J.K. Rowling, Harry Potter and the Sorcerer's Stone",death,"[' death, dumbledore, harry, inspirational, philosophers-stone, ron, sorcerers-stone']"
1,“I'm not afraid of death; I just don't want to be there when it happens.”,― Woody Allen,death,"[' death, fear, humor, life']"
2,"“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",― Anais Nin,death,"[' death, love']"
3,"“I wish it need not have happened in my time,"" said Frodo.","""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”",death,"[' adventuring, death, time']"
4,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","― Jimi Hendrix, Jimi Hendrix - Axis: Bold as Love",death,"[' death, life']"
5,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,― Mark Twain,death,"[' death, life']"
6,"“Death ends a life, not a relationship.”","― Mitch Albom, Tuesdays with Morrie",death,"[' death, life']"
7,"“Death's got an Invisibility Cloak?"" Harry interrupted again.","""So he can sneak up on people,"" said Ron. ""Sometimes he gets bored of running at them, flapping his arms and shrieking...”",death,"[' death, humor, sarcasm']"
8,"“I DON'T CARE!"" Harry yelled at them, snatching up a lunascope and throwing it into the fireplace. ""I'VE HAD ENOUGH, I'VE SEEN ENOUGH, I WANT OUT, I WANT IT TO END, I DON'T CARE ANYMORE!""","""You do care,"" said Dumbledore. He had not flinched or made a single move to stop Harry demolishing his office. His expression was calm, almost detached. ""You care so much you feel as though you will bleed to death with the pain of it.”",death,"[' ache, death, dumbledore, harry-potter, hurt, life, pain']"
9,"“It is a curious thing, the death of a loved one. We all know that our time in this world is limited, and that eventually all of us will end up underneath some sheet, never to wake up. And yet it is always a surprise when it happens to someone we know. It is like walking up the stairs to your bedroom in the dark, and thinking there is one more stair than there is. Your foot falls down, through the air, and there is a sickly moment of dark surprise as you try and readjust the way you thought of things.”","― Lemony Snicket, Horseradish",death,[' death']
10,“A thing is not necessarily true because a man dies for it.”,― Oscar Wilde,death,"[' belief, death, ideals, martyr, truth']"
11,"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”","― Terry Pratchett, The Last Continent",death,"[' death, humor, life']"
12,“I don't want to die without any scars.”,"― Chuck Palahniuk, Fight Club",death,"[' death, scars, tyler-durden']"
13,"“I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.”",― Mark Twain,death,"[' death, inspirational']"
14,"“When he shall die,","Take him and cut him out in little stars,",death,"[' death, light, stars']"
15,"“My dear,",Find what you love and let it kill you.,death,"[' death, love']"
16,"“It kills me sometimes, how people die.”","― Markus Zusak, The Book Thief",death,[' death']
17,“Unbeing dead isn't being alive.”,― E. E. Cummings,death,"[' death, life, poetry']"
18,"“Life should not be a journey to the grave with the intention of arriving safely in a pretty and well preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming ""Wow! What a Ride!”","― Hunter S. Thompson, The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967",death,"[' adventure, death, life']"
19,“Life is for the living.,Death is for the dead.,death,"[' death, life, music']"
20,“You'll stay with me?',"Until the very end,' said James.”",death,"[' death, final, goodbye, harry-potter, lupin, parents, sirius']"
21,“I go to seek a Great Perhaps.”,― François Rabelais,death,"[' death, french-renaissance-writer, john-green, last-words, life, looking-for-alaska, meaning-of-life, miles-halter']"
22,"“Things we lose have a way of coming back to us in the end, if not always in the way we expect.”","― JK Rowling, Harry Potter and the Order of the Phoenix",death,"[' death, love']"
23,"“That was the thing. You never got used to it, the idea of someone being gone. Just when you think it's reconciled, accepted, someone points it out to you, and it just hits you all over again, that shocking.”","― Sarah Dessen, The Truth About Forever",death,"[' death, life']"
24,"“If you gave someone your heart and they died, did they take it with them? Did you spend the rest of forever with a hole inside you that couldn't be filled?”","― Jodi Picoult, Nineteen Minutes",death,"[' death, heart, love']"
