,Quote,Author,Main Tag,Other Tags
0,“ The Paradoxical Commandments,,happiness,"[' forgiveness, goodness, happiness, honesty, kindness, misattributed-to-mother-teresa, world']"
1,“For every minute you are angry you lose sixty seconds of happiness.”,― Ralph Waldo Emerson,happiness,[' happiness']
2,“Love is that condition in which the happiness of another person is essential to your own.”,"― Robert A. Heinlein, Stranger in a Strange Land",happiness,"[' essential, happiness, love']"
3,“Folks are usually about as happy as they make their minds up to be.”,― Abraham Lincoln,happiness,"[' attributed-no-source, happiness']"
4,“Time you enjoy wasting is not wasted time.”,"― Marthe Troly-Curtin, Phrynette Married",happiness,"[' happiness, misattributed-john-lennon, procrastination, time']"
5,"“It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.”","― Chuck Palahniuk, Diary",happiness,"[' happiness, pain, peace, scar, sweetness']"
6,“Happiness in intelligent people is the rarest thing I know.”,"― Ernest Hemingway, The Garden of Eden",happiness,[' happiness']
7,“The Seven Social Sins are:,,happiness,"[' character, commerce, conscience, happiness, humanity, knowledge, misattributed-to-gandhi, money, morality, pleasure, politics, principle, sacrifice, science, sin, sins, wealth, work, worship']"
8,“You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.”,― Albert Camus,happiness,"[' attributed-no-source, happiness, meaning-of-life']"
9,"“Happiness is when what you think, what you say, and what you do are in harmony.”",― Mahatma Gandhi,happiness,"[' attributed-no-source, happiness']"
10,“There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.”,"― Stephen Chbosky, The Perks of Being a Wallflower",happiness,[' happiness']
11,“Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.”,― Henry Wadsworth Longfellow,happiness,"[' coldness, depression, happiness, life, sad, sadness, sorrow']"
12,“Happiness is not something ready made. It comes from your own actions.”,― Dalai Lama XIV,happiness,"[' happiness, inspirational']"
13,"“Count your age by friends, not years. Count your life by smiles, not tears.”",― John Lennon,happiness,"[' happiness, timelessness, wisdom']"
14,“Promise Yourself,,happiness,"[' happiness, inspirational, love, optimism, strength']"
15,"“If more of us valued food and cheer and song above hoarded gold, it would be a merrier world.”",― J.R.R. Tolkien,happiness,"[' food, happiness']"
16,“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"― Roy T. Bennett, The Light in the Heart",happiness,"[' attitude, choice, giving, happiness, inspirational, kindness, life-and-living, life-lessons, motivational, positive-affirmation']"
17,"“They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.”",― Tom Bodett,happiness,"[' happiness, hope, joy, love, wishing']"
18,“The most important thing is to enjoy your life—to be happy—it's all that matters.”,― Audrey Hepburn,happiness,"[' happiness, life']"
19,"“Take responsibility of your own happiness, never put it in other people’s hands.”","― Roy T. Bennett, The Light in the Heart",happiness,"[' happiness, inspirational, responsibility']"
20,“Happiness is a warm puppy.”,― Charles M. Schulz,happiness,"[' animals, dogs, happiness, humor, puppies']"
21,“You cannot protect yourself from sadness without protecting yourself from happiness.”,― Jonathan Safran Foer,happiness,"[' happiness, sadness']"
22,“It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.”,"― Dale Carnegie, How to Win Friends and Influence People",happiness,"[' attitude, contentment, happiness, inspirational, life']"
23,“No medicine cures what happiness cannot.”,― Gabriel García Márquez,happiness,[' happiness']
24,"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",― Roy T. Bennett,happiness,"[' anger, grudge, happiness, happy, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, regret, time, worry']"
25,"“Happiness is having a large, loving, caring, close-knit family in another city.”",― George Burns,happiness,"[' family, happiness, humor']"
26,"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”","― Roy T. Bennett, The Light in the Heart",happiness,"[' appreciate, change, happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, laugh, life, life-and-living, life-lessons, life-quotes, living, love, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, relationship, respect, smile, value']"
27,“Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.”,― Marcel Proust,happiness,"[' gratitude, happiness']"
28,"“If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”","― Roy T. Bennett, The Light in the Heart",happiness,"[' focus, future, happiness, happy, inspiration, inspirational, inspirational-quotes, letting-go-of-the-past, life, life-and-living, life-quotes, live, living, living-in-the-present, living-life, living-life-to-the-fullest, living-now, worry']"
29,“The only way to find true happiness is to risk being completely cut open.”,"― Chuck Palahniuk, Invisible Monsters",happiness,"[' chance, happiness, risk']"
30,“Hope,"Smiles from the threshold of the year to come,",happiness,"[' happiness, hope, inspirational, new-year']"
31,"“Of all forms of caution, caution in love is perhaps the most fatal to true happiness.”","― Bertrand Russell, The Conquest of Happiness",happiness,"[' happiness, love']"
32,"“I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ""This is what it is to be happy.”","― Sylvia Plath, The Bell Jar",happiness,"[' ecstasy, happiness, nature']"
33,"“You can't be happy unless you're unhappy sometimes"".”","― Lauren Oliver, Delirium",happiness,"[' contrast, happiness, unhappiness']"
34,“Sanity and happiness are an impossible combination.”,― Mark Twain,happiness,"[' happiness, sanity']"
35,“Be grateful for what you already have while you pursue your goals.,"If you aren’t grateful for what you already have, what makes you think you would be happy with more.”",happiness,"[' goal, goals, gratitude, happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, leader, leadership, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
36,“Top 15 Things Money Can’t Buy,Time. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,happiness,"[' character, class, common-sense, dignity, happiness, health, inner-peace, inspiration, inspirational, inspirational-quotes, integrity, life, life-quotes, love, manners, money, morals, patience, respect, time, trust']"
37,"“Happiness is the consequence of personal effort. You fight for it, strive for it, insist upon it, and sometimes even travel around the world looking for it. You have to participate relentlessly in the manifestations of your own blessings. And once you have achieved a state of happiness, you must never become lax about maintaining it. You must make a mighty effort to keep swimming upward into that happiness forever, to stay afloat on top of it.”","― Elizabeth Gilbert, Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",happiness,[' happiness']
38,"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",― Steve Maraboli,happiness,"[' destiny, happiness, history, inspirational, let-go, letting-go, life, motivational, moving-on, success']"
39,"“Success is getting what you want, happiness is wanting what you get”",― W. P. Kinsella,happiness,"[' happiness, success']"
40,“Happiness [is] only real when shared”,"― Jon Krakauer, Into the Wild",happiness,"[' family, happiness, inspirational, love, marriage']"
41,“It's been my experience that you can nearly always enjoy things if you make up your mind firmly that you will.”,"― Lucy Maud Montgomery, Anne of Green Gables",happiness,[' happiness']
42,“I've got nothing to do today but smile.”,― Simon and Garfunkel,happiness,"[' happiness, life']"
43,"“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.”","― Roy T. Bennett, The Light in the Heart",happiness,"[' acts-of-kindness, happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, kindness, life, life-and-living, life-lessons, life-quotes, living, opportunity, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile']"
44,“The worst part of success is trying to find someone who is happy for you.”,― Bette Midler,happiness,"[' friendship, happiness, humor, inspirational, jealousy, success']"
45,"“It's like Tolstoy said. Happiness is an allegory, unhappiness a story.”","― Haruki Murakami, Kafka on the Shore",happiness,"[' fiction, happiness, stories']"
46,"“Learn to value yourself, which means: fight for your happiness.”",― Ayn Rand,happiness,"[' fight, happiness, learn']"
47,"“Name one hero who was happy.""",I considered. Heracles went mad and killed his family; Theseus lost his bride and father; Jason's children and new wife were murdered by his old; Bellerophon killed the Chimera but was crippled by the fall from Pegasus' back.,happiness,"[' fame, happiness, heroes, love, mythology, oaths']"
48,“The happiness of your life depends upon the quality of your thoughts.”,"― Marcus Aurelius, Meditations",happiness,[' happiness']
49,“Happiness is holding someone in your arms and knowing you hold the whole world.”,"― Orhan Pamuk, Snow",happiness,"[' happiness, love']"
50,“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,― Steve Maraboli,happiness,"[' cry, forgive, happiness, inspiration, learn, letting-go, life, motivational, moving-on, seeds, success, tears, water']"
51,“I must learn to be content with being happier than I deserve.”,"― Jane Austen, Pride and Prejudice",happiness,[' happiness']
52,"“please believe that things are good with me, and even when they're not, they will be soon enough. And i will always believe the same about you.”","― Stephen Chbosky, The Perks of Being a Wallflower",happiness,"[' happiness, inspirational, life']"
53,"“Stop comparing yourself to other people, just choose to be happy and live your own life.”","― Roy T. Bennett, The Light in the Heart",happiness,"[' happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
54,"“When the first baby laughed for the first time, its laugh broke into a thousand pieces, and they all went skipping about, and that was the beginning of fairies.”","― J.M. Barrie, Peter Pan",happiness,[' happiness']
55,"“I am not proud, but I am happy; and happiness blinds, I think, more than pride.”","― Alexandre Dumas, The Count of Monte Cristo",happiness,"[' happiness, pride']"
56,“The best way to cheer yourself is to try to cheer someone else up.”,― Mark Twain,happiness,[' happiness']
57,“Man only likes to count his troubles; he doesn't calculate his happiness.”,"― Fyodor Dostoevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",happiness,"[' happiness, man, trouble']"
58,“All happiness depends on courage and work.”,― Honoré de Balzac,happiness,"[' courage, happiness, work']"
59,“I'm happy. Which often looks like crazy.”,"― David Henry Hwang, M. Butterfly",happiness,[' happiness']
60,“The advantage of a bad memory is that one enjoys several times the same good things for the first time.”,― Friedrich Nietzsche,happiness,"[' forgetfulness, forgetting, happiness, memory']"
61,“Do not set aside your happiness. Do not wait to be happy in the future. The best time to be happy is always now.”,― Roy T. Bennett,happiness,"[' happiness, happy, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, living-now, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
62,"“Let no one ever come to you without leaving better and happier. Be the living expression of God's kindness: kindness in your face, kindness in your eyes, kindness in your smile.”",― Mother Teresa,happiness,[' happiness']
63,"“I think and think and think, I‘ve thought myself out of happiness one million times, but never once into it.”",― Jonathan Safran Foer,happiness,"[' happiness, thinking, wisedom']"
64,"“So we shall let the reader answer this question for himself: who is the happier man, he who has braved the storm of life and lived or he who has stayed securely on shore and merely existed?”",― Hunter S. Thompson,happiness,"[' gonzo, happiness, risk']"
65,"“Happiness is not the absence of problems, it's the ability to deal with them.”","― Steve Maraboli, Life, the Truth, and Being Free",happiness,"[' empowerment, happiness, inspirational, life-lessons, motivational, problems']"
66,"“The grand essentials to happiness in this life are something to do, something to love, and something to hope for.”","― George Washington Burnap, The Sphere and Duties of Woman: A Course of Lectures",happiness,"[' happiness, inspirational, misattributed-to-chalmers, misattributed-to-joseph-addison, misattributed-to-kant, misattributed-tom-bodett, widely-misattributed']"
67,"“Don't aim at success. The more you aim at it and make it a target, the more you are going to miss it. For success, like happiness, cannot be pursued; it must ensue, and it only does so as the unintended side effect of one's personal dedication to a cause greater than oneself or as the by-product of one's surrender to a person other than oneself. Happiness must happen, and the same holds for success: you have to let it happen by not caring about it. I want you to listen to what your conscience commands you to do and go on to carry it out to the best of your knowledge. Then you will live to see that in the long-run—in the long-run, I say!—success will follow you precisely because you had forgotten to think about it”","― Viktor E. Frankl, Man's Search for Meaning",happiness,"[' happiness, success']"
68,“I'd far rather be happy than right any day.”,"― Douglas Adams, The Hitchhiker's Guide to the Galaxy",happiness,"[' happiness, rightness']"
69,"“It was only a sunny smile, and little it cost in the giving, but like morning light it scattered the night and made the day worth living.”",― F. Scott Fitzgerald,happiness,"[' happiness, inspiration, life']"
70,"“And hand in hand, on the edge of the sand,",They danced by the light of the moon.”,happiness,"[' dance, happiness, nursery-rhymes']"
71,“Happiness quite unshared can scarcely be called happiness; it has no taste.”,― Charlotte Bronte,happiness,"[' happiness, sharing']"
72,"“The more you feed your mind with positive thoughts, the more you can attract great things into your life.”","― Roy T. Bennett, The Light in the Heart",happiness,"[' being-positive, happiness, inspiration, inspirational-quotes, life, life-quotes, live, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
73,“One of the keys to happiness is a bad memory.”,― Rita Mae Brown,happiness,"[' bad-memory, forgiveness, happiness, memory']"
74,"“I felt once more how simple and frugal a thing is happiness: a glass of wine, a roast chestnut, a wretched little brazier, the sound of the sea. Nothing else.”","― Nikos Kazantzakis, Zorba the Greek",happiness,"[' happiness, life, sea']"
75,“Happiness depends on your mindset and attitude.”,"― Roy T. Bennett, The Light in the Heart",happiness,"[' attitude, happiness, happy, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, mind, mindset, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
76,"“I know that's what people say-- you'll get over it. I'd say it, too. But I know it's not true. Oh, youll be happy again, never fear. But you won't forget. Every time you fall in love it will be because something in the man reminds you of him.”","― Betty Smith, A Tree Grows in Brooklyn",happiness,"[' happiness, lost-love, love']"
77,“Happiness depends upon ourselves.”,― Aristotle,happiness,[' happiness']
78,"“Actual happiness always looks pretty squalid in comparison with the overcompensations for misery. And, of course, stability isn't nearly so spectacular as instability. And being contented has none of the glamour of a good fight against misfortune, none of the picturesqueness of a struggle with temptation, or a fatal overthrow by passion or doubt. Happiness is never grand.”","― Aldous Huxley, Brave New World",happiness,[' happiness']
79,"“Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.”","― Steve Maraboli, Life, the Truth, and Being Free",happiness,"[' ability, action, gratitude, happiness, inspirational, life, motivational, moving-forward, problems, success']"
80,"“I don’t know what’s worse: to not know what you are and be happy, or to become what you’ve always wanted to be, and feel alone.”","― Daniel Keyes, Flowers for Algernon",happiness,"[' happiness, loneliness, melancholy, philosophy, psychology']"
81,"“I do not miss childhood, but I miss the way I took pleasure in small things, even as greater things crumbled. I could not control the world I was in, could not walk away from things or people or moments that hurt, but I took joy in the things that made me happy.”","― Neil Gaiman, The Ocean at the End of the Lane",happiness,"[' childhood, happiness']"
82,"“True happiness is to enjoy the present, without anxious dependence upon the future, not to amuse ourselves with either hopes or fears but to rest satisfied with what we have, which is sufficient, for he that is so wants nothing. The greatest blessings of mankind are within us and within our reach. A wise man is content with his lot, whatever it may be, without wishing for what he has not.”",― Seneca,happiness,"[' attitude, gratitude, happiness, inspirational-quotes, satisfaction']"
83,“Now and then it's good to pause in our pursuit of happiness and just be happy.”,― Guillaume Apollinaire,happiness,"[' happiness, life']"
84,"“People like to say love is unconditional, but it's not, and even if it was unconditional, it's still never free. There's always an expectation attached. They always want something in return. Like they want you to be happy or whatever and that makes you automatically responsible for their happiness because they won't be happy unless you are ... I just don't want that responsibility.”","― Katja Millay, The Sea of Tranquility",happiness,"[' happiness, love, relationships, responsibility, unconditional-love']"
85,"“I am the happiest creature in the world. Perhaps other people have said so before, but not one with such justice. I am happier even than Jane; she only smiles, I laugh.”","― Jane Austen, Pride and Prejudice",happiness,"[' happiness, laughter, smiles']"
86,"“Part of the problem with the word 'disabilities' is that it immediately suggests an inability to see or hear or walk or do other things that many of us take for granted. But what of people who can't feel? Or talk about their feelings? Or manage their feelings in constructive ways? What of people who aren't able to form close and strong relationships? And people who cannot find fulfillment in their lives, or those who have lost hope, who live in disappointment and bitterness and find in life no joy, no love? These, it seems to me, are the real disabilities.”","― Fred Rogers, The World According to Mister Rogers: Important Things to Remember",happiness,"[' bitterness, disability, disappointment, emptiness, feelings, fulfillment, happiness, hope, joy, love, potential, relationships, self-awareness']"
87,“Happiness makes up in height for what it lacks in length.”,― Robert Frost,happiness,[' happiness']
88,"“What, if some day or night a demon were to steal after you into your loneliest loneliness and say to you: 'This life as you now live it and have lived it, you will have to live once more and innumerable times more' ... Would you not throw yourself down and gnash your teeth and curse the demon who spoke thus? Or have you once experienced a tremendous moment when you would have answered him: 'You are a god and never have I heard anything more divine.”","― Friedrich Nietzsche, The Gay Science",happiness,"[' demons, happiness, judgement, kronofobi, life, reincarnation, sadness']"
89,"“A quiet secluded life in the country, with the possibility of being useful to people to whom it is easy to do good, and who are not accustomed to have it done to them; then work which one hopes may be of some use; then rest, nature, books, music, love for one's neighbor — such is my idea of happiness.”","― Leo Tolstoy, Family Happiness",happiness,"[' books, conduct-of-life, contentment, country, happiness, life, music, nature, neighborliness, rest, usefulness, work']"
90,“With mirth and laughter let old wrinkles come.”,"― William Shakespeare, The Merchant of Venice",happiness,"[' birthday, happiness, laughter, shakespeare']"
91,"“There is some kind of a sweet innocence in being human- in not having to be just happy or just sad- in the nature of being able to be both broken and whole, at the same time.”",― C. JoyBell C.,happiness,"[' being-human, happiness, human, human-nature, humanism, humanity, inspirational, inspirational-quotes, inspiring, life, life-and-living, living, sadness']"
92,"“Generally speaking, the most miserable people I know are those who are obsessed with themselves; the happiest people I know are those who lose themselves in the service of others...By and large, I have come to see that if we complain about life, it is because we are thinking only of ourselves.”",― Gordon B. Hinckley,happiness,[' happiness']
93,"“There is nothing more rare, nor more beautiful, than a woman being unapologetically herself; comfortable in her perfect imperfection. To me, that is the true essence of beauty.”","― Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience",happiness,"[' be-yourself, beauty, body-image, comfortable, happiness, imperfection, inspirational, life, rare, success, women']"
94,"“Happiness is the meaning and the purpose of life, the whole aim and end of human existence.”",― Aristotle,happiness,[' happiness']
95,“Ester asked why people are sad.,"""That’s simple,"" says the old man. ""They are the prisoners of their personal history. Everyone believes that the main aim in life is to follow a plan. They never ask if that plan is theirs or if it was created by another person. They accumulate experiences, memories, things, other people's ideas, and it is more than they can possibly cope with. And that is why they forget their dreams.”",happiness,"[' dreams, future, happiness, life, plans, sadness']"
96,"“Happily ever after, or even just together ever after, is not cheesy,” Wren said. “It’s the noblest, like, the most courageous thing two people can shoot for.”","― Rainbow Rowell, Fangirl",happiness,"[' happiness, happy-endings, love']"
97,“Smile more. Smiling can make you and others happy.”,"― Roy T. Bennett, The Light in the Heart",happiness,"[' happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile']"
98,“The problem with people is they forget that most of the time it's the small things that count.”,"― Jennifer Niven, All the Bright Places",happiness,"[' all-the-bright-places, happiness, inspiration, life']"
