,Quote,Author,Main Tag,Other Tags
0,"“We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”","― Veronica Roth, Divergent",inspiration,"[' inspirational-quotes, strength-and-courage']"
1,"“Don't think or judge, just listen.”","― Sarah Dessen, Just Listen",inspiration,[' inspirational-quotes']
2,"“You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.”",― C. JoyBell C.,inspiration,"[' affection, communication, heartwarming, human-connections, human-nature, humanism, humanity, inspirational, inspirational-life, inspirational-love, inspirational-quotes, relationships']"
3,“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' dreams, fearless, heart, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, mind, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
4,"“Instead of worrying about what you cannot control, shift your energy to what you can create.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' creation, creative, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, worry']"
5,“Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' being-human, goodness, human, human-nature, humanism, humanity, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, kindness, life, life-and-living, life-lessons, life-philosophy, life-quotes, living, love, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile, smiles']"
6,"“Respect other people's feelings. It might mean nothing to you, but it could mean everything to them.”",― Roy T. Bennett,inspiration,"[' feelings, inspiration, inspirational-quotes']"
7,“Be mindful. Be grateful. Be positive. Be true. Be kind.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' gratitude, inspiration, inspirational, inspirational-quotes, kindness, life, life-and-living, life-quotes, living-life, mindful, mindfulness, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, truth']"
8,"“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' accept-yourself, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, keep-moving-forward, letting-go, life, life-and-living, life-lessons, life-quotes, living, love-yourself, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
9,"“One day, in retrospect, the years of struggle will strike you as the most beautiful.”",― Sigmund Freud,inspiration,[' inspirational-quotes']
10,“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' brave, courage, dreams, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, purpose, vision']"
11,"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' achievement, believe-in-yourself, brave, courage, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, talent']"
12,"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",― Roy T. Bennett,inspiration,"[' change, focus, grow, growth, inspiration, inspirational, inspirational-quotes, inspire, inspiring, leader, leaders, leadership, life, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, stay-focused, step-out-of-comfort-zone, transform']"
13,"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",― Roy T. Bennett,inspiration,"[' anger, grudge, happiness, happy, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, regret, time, worry']"
14,"“More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' authentic-living, being-positive, blessed, compassion, hate, inspiration, inspirational, inspirational-quotes, judgment, less-more, life, life-purpose, life-quotes, living, love, mind, motivation, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile, smiles, spirituality, stress, stressed, worry, worrying']"
15,"“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”",― Roy T. Bennett,inspiration,"[' action, adventure, authentic-living, authentic-self, authenticity, confidence, experience, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, who-you-are, whole-being']"
16,“Don't Just,,inspiration,"[' act, action, change, criticize, doing, dream, dreams, encouragement, experience, feeling, giving, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, learning, life, life-and-living, life-lessons, life-philosophy, life-quotes, listening, living, optimism, optimistic, ponder, positive, positive-affirmation, positive-life, positive-thinking, thinking, transform']"
17,"“Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' appreciate, change, happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, laugh, life, life-and-living, life-lessons, life-quotes, living, love, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, relationship, respect, smile, value']"
18,"“You cannot control the behavior of others, but you can always choose how you respond to it.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' choices, choose, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
19,"“If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' focus, future, happiness, happy, inspiration, inspirational, inspirational-quotes, letting-go-of-the-past, life, life-and-living, life-quotes, live, living, living-in-the-present, living-life, living-life-to-the-fullest, living-now, worry']"
20,“Life becomes easier and more beautiful when we can see the good in other people.”,― Roy T. Bennett,inspiration,"[' goodness, inspiration, inspirational, inspirational-quotes, inspire, inspiring, kindness, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
21,“Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.”,― C. JoyBell C.,inspiration,"[' belief, bravery, courage, fear, fears, inspirational, inspirational-life, inspirational-quotes, strength']"
22,"“If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.”",― C. JoyBell C.,inspiration,"[' forgetting, hate, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, letting-go, life, life-and-living, living, strength']"
23,“Keep Going,,inspiration,"[' adversity, authentic-living, being-positive, faith, inspiration, inspirational, inspirational-quotes, life, life-and-living, life-quotes, motivation, never-give-up, optimism, optimistic, persistence, positive, positive-affirmation, positive-life, positive-thinking']"
24,"“Make improvements, not excuses. Seek respect, not attention.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' excuse, improvement, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-philosophy, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, respect']"
25,"“Pursue what catches your heart, not what catches your eyes.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' gratitude, heart, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, thoughts']"
26,"“We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.”",― C. JoyBell C.,inspiration,"[' growing, humanity, inspirational, inspirational-life, inspirational-love, inspirational-quotes, learning, life-and-living, life-lessons, love, people, real-love, reality, reality-of-life, those-who-love-us, to-be-loved, true-love, what-matters']"
27,“Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' giving, goals, goals-in-life, inspiration, inspirational, inspirational-quotes, learn, learning, life, life-quotes, light, light-and-darkness, living-life, meaning, meaning-of-life, meaningful, meaningful-life, wisdom, wise']"
28,“Be grateful for what you already have while you pursue your goals.,"If you aren’t grateful for what you already have, what makes you think you would be happy with more.”",inspiration,"[' goal, goals, gratitude, happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, leader, leadership, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
29,“Believe in Your Heart,,inspiration,"[' believe, heart, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, magic, miracles, optimism, optimistic, passion, positive, positive-affirmation, positive-life, positive-thinking, purpose']"
30,"“Success is not how high you have climbed, but how you make a positive difference to the world.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, leader, leadership, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, success']"
31,"“Treat everyone with politeness and kindness, not because they are nice, but because you are.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' inspiration, inspirational, inspirational-quotes, kind, kindness, life, life-quotes, living-life']"
32,“Start each day with a positive thought and a grateful heart.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' gratitude, heart, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, thoughts']"
33,"“No amount of regretting can change the past, and no amount of worrying can change the future.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' inspiration, inspirational, inspirational-quotes, life, life-and-living, life-quotes, living-in-the-present, living-life, worry, worrying']"
34,“Acts of Kindness:,"A random act of kindness, no matter how small, can make a tremendous impact on someone else's life.”",inspiration,"[' inspiration, inspirational, inspirational-quotes, inspire, inspiring, kind, kindness, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
35,"“Follow your heart, listen to your inner voice, stop caring about what others think.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' be-yourself, be-yourself-inspirational, be-yourself-quote, be-yourself-quotes, heart, inner-voice, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, wisdom, wise']"
36,"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' challenge, enjoy-the-journey, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, keep-moving-forward, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, move-on, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
37,“Top 15 Things Money Can’t Buy,Time. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,inspiration,"[' character, class, common-sense, dignity, happiness, health, inner-peace, inspiration, inspirational, inspirational-quotes, integrity, life, life-quotes, love, manners, money, morals, patience, respect, time, trust']"
38,“Be brave to stand for what you believe in even if you stand alone.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' belief, beliefs, believe, courage, courage-quotes, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
39,"“You will find that it is necessary to let things go; simply for the reason that they are heavy. So let them go, let go of them. I tie no weights to my ankles.”",― C. JoyBell C.,inspiration,"[' forgetting, forgiving, inspirational-life, inspirational-quotes, letting-go, life, life-and-living, moving-on, people']"
40,“Do not fear failure but rather fear not trying.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' failure, fearless, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-philosophy, life-quotes, living, motivation, motivational, never-give-up, optimism, optimistic, persistence, positive, positive-affirmation, positive-life, positive-thinking, trying']"
41,“Never lose hope. Storms make people stronger and never last forever.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' adversity, difficulty, hope, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, perseverance, persistence, positive, positive-affirmation, positive-life, positive-thinking, storms']"
42,"“Great things happen to those who don't stop believing, trying, learning, and being grateful.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' being-positive, believe, gratitude, inspiration, inspirational, inspirational-quotes, life, life-quotes, live, motivation, never-stop-believing, never-stop-learning, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, try, trying']"
43,"“Always find opportunities to make someone smile, and to offer random acts of kindness in everyday life.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' acts-of-kindness, happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, kindness, life, life-and-living, life-lessons, life-quotes, living, opportunity, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, smile']"
44,"“The only way that we can live, is if we grow. The only way that we can grow is if we change. The only way that we can change is if we learn. The only way we can learn is if we are exposed. And the only way that we can become exposed is if we throw ourselves out into the open. Do it. Throw yourself.”",― C. JoyBell C.,inspiration,"[' change, growth, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, life-and-living, life-lessons']"
45,"“I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.”",― C. JoyBell C.,inspiration,"[' belief, direction, faith, flight, flying, flying-spirit, hope, inspirational, inspirational-life, inspirational-quotes, life, life-and-living, living, trust, uplifting, winds, winds-of-life, wings']"
46,"“Time doesn’t heal emotional pain, you need to learn how to let go.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' heal, inspiration, inspirational, inspirational-quotes, learning, let-go, letting-go, letting-go-of-the-past, life, life-quotes, pain, spiritual, time']"
47,“To shine your brightest light is to be who you truly are.”,― Roy T. Bennett,inspiration,"[' be-yourself, being-yourself, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, light, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, shine']"
48,“Be thankful for everything that happens in your life; it’s all an experience.”,― Roy T. Bennett,inspiration,"[' experience, gratitude, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, thankful']"
49,“Sometimes you have to lose all you have to find out who you truly are.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' be-yourself, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
50,“Thinking something does not make it true. Wanting something does not make it real.”,"― Michelle Hodkin, The Unbecoming of Mara Dyer",inspiration,"[' inspirational-quotes, mara-dyer, reality, truth']"
51,"“Stop comparing yourself to other people, just choose to be happy and live your own life.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' happiness, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking']"
52,“You are not rich until you have a rich heart.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' heart, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, rich, rich-heart, richness']"
53,“You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,― Roy T. Bennett,inspiration,"[' achievement, change, comfort-zone, courage, dream, dreams, inspiration, inspirational, inspirational-quotes, inspire, inspiring, leader, leaders, leadership, life, life-quotes, living, motivation, motivational, start-up, step-out-of-your-comfort-zone']"
54,"“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”","― Roy T. Bennett, The Light in the Heart",inspiration,"[' future, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, limit, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, potential']"
55,"“Life is too short to waste any amount of time on wondering what other people think about you. In the first place, if they had better things going on in their lives, they wouldn't have the time to sit around and talk about you. What's important to me is not others' opinions of me, but what's important to me is my opinion of myself.”",― C. JoyBell C.,inspiration,"[' defiant, freedom, inspirational, inspirational-attitude, inspirational-quotes, inspiring, life-and-living, self-belief, self-love, self-worth, society']"
56,“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,"― Roy T. Bennett, The Light in the Heart",inspiration,"[' improvement, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, leadership, learning, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, success']"
57,"“We can't be afraid of change. You may feel very secure in the pond that you are in, but if you never venture out of it, you will never know that there is such a thing as an ocean, a sea. Holding onto something that is good for you now, may be the very reason why you don't have something better.”",― C. JoyBell C.,inspiration,"[' change, changes, courage, encouragement, exploration, growing, inspirational-quotes, letting-go, life-and-living, self-discovery']"
58,"“There will be a few times in your life when all your instincts will tell you to do something, something that defies logic, upsets your plans, and may seem crazy to others. When that happens, you do it. Listen to your instincts and ignore everything else. Ignore logic, ignore the odds, ignore the complications, and just go for it.”","― Judith McNaught, Remember When",inspiration,"[' attitude, inspirational-quotes, life-lessons, robert-foster']"
59,"“There is no such thing as a ""broken family."" Family is family, and is not determined by marriage certificates, divorce papers, and adoption documents. Families are made in the heart. The only time family becomes null is when those ties in the heart are cut. If you cut those ties, those people are not your family. If you make those ties, those people are your family. And if you hate those ties, those people will still be your family because whatever you hate will always be with you.”",― C. JoyBell C.,inspiration,"[' broken-families, divorce, family, family-ties, forgiveness, hate, inspirational-life, inspirational-quotes, letting-go, marriage, moving-on, soul-ties, the-nature-of-family, true-family']"
