,Quote,Author,Main Tag,Other Tags
0,"“All that is gold does not glitter,",Not all those who wander are lost;,poetry,"[' frost, glitter, gold, lost, poetry, roots, strength, strong, wander, wither']"
1,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","― Pablo Neruda, 100 Love Sonnets",poetry,"[' love, poetry']"
2,"“I love you as certain dark things are to be loved,","in secret, between the shadow and the soul.”",poetry,"[' love, poetry']"
3,“Only the very weak-minded refuse to be influenced by literature and poetry.”,"― Cassandra Clare, Clockwork Angel",poetry,"[' books, literature, philosphy, poetry, reading']"
4,“Music expresses that which cannot be put into words and that which cannot remain silent”,― Victor hugo,poetry,"[' literature, music, poetry']"
5,“The Road Not Taken,,poetry,"[' choice, poetry']"
6,“We love the things we love for what they are.”,― Robert Frost,poetry,"[' love, poetry']"
7,“I carry your heart with me (I carry it in my heart)I am never without it (anywhere,"I go you go,my dear; and whatever is done by only me is your doing,my darling)",poetry,"[' love, poetry']"
8,“You talk when you cease to be at peace with your thoughts.”,"― Kahlil Gibran, The Prophet",poetry,"[' philosophy, poetry']"
9,"“Every heart sings a song, incomplete, until another heart whispers back. Those who wish to sing always find a song. At the touch of a lover, everyone becomes a poet.”",― Plato,poetry,"[' love, poetry, song']"
10,"“Tell me, what is it you plan to do",with your one wild and precious life?”,poetry,[' poetry']
11,“If you're reading this...,"Congratulations, you're alive.",poetry,"[' alive, congratulations, hope, humanity, inspiration, inspirational, inspire, life, poetry, smile, wisdom']"
12,“I have loved the stars too fondly to be fearful of the night.”,― Sarah Williams,poetry,"[' night, poetry']"
13,"“Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”",― Leonardo da Vinci,poetry,"[' art, poetry']"
14,“To be nobody but,yourself in a world,poetry,[' poetry']
15,"“Resist much, obey little.”","― Walt Whitman, Leaves of Grass",poetry,[' poetry']
16,“Unbeing dead isn't being alive.”,― E. E. Cummings,poetry,"[' death, life, poetry']"
17,"“A poem begins as a lump in the throat, a sense of wrong, a homesickness, a lovesickness.”",― Robert Frost,poetry,[' poetry']
18,“Poets have been mysteriously silent on the subject of cheese.”,"― G.K. Chesterton, Alarms and Discursions",poetry,"[' cheese, poetry']"
19,"“Some say the world will end in fire,",Some say in ice.,poetry,[' poetry']
20,“You do not have to be good.,You do not have to walk on your knees,poetry,"[' beauty, birds, nature, poetry, shore, woods']"
