,Quote,Author,Main Tag,Other Tags
0,"“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”","― Cassandra Clare, City of Glass",romance,"[' mortal-instruments, romance, teen-fantasy']"
1,"“He's like a drug for you, Bella.”","― Stephenie Meyer, Eclipse",romance,"[' drug, romance, simile']"
2,"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","― Jess C. Scott, The Intern",romance,"[' desire, emotion, friendship, honesty, imagination, individuality, life, love, passion, reality, relationships, romance, truth, wisdom, wise-words']"
3,"“I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.”","― Lisa Kleypas, Blue-Eyed Devil",romance,"[' love, relationships, romance']"
4,"“You can't force love, I realized. It's there or it isn't. If it's not there, you've got to be able to admit it. If it is there, you've got to do whatever it takes to protect the ones you love.”","― Richelle Mead, Frostbite",romance,"[' fiction, romance']"
5,"“Some women choose to follow men, and some women choose to follow their dreams. If you're wondering which way to go, remember that your career will never wake up and tell you that it doesn't love you anymore.”",― Lady Gaga,romance,"[' love, romance, work']"
6,"“The best love is the kind that awakens the soul and makes us reach for more, that plants a fire in our hearts and brings peace to our minds. And that's what you've given me. That's what I'd hoped to give you forever”",― Nicholas Sparks,romance,"[' love, nicholas-sparks, romance, the-notebook']"
7,"“And I'm suppose to sit by while you date boys and fall in love with someone else, get married...?"" His voice tightened. ""And meanwhile, I'll die a little bit more every day, watching.”","― Cassandra Clare, City of Glass",romance,"[' mortal-instruments, romance, teen-fantasy']"
8,"“I heard what you said. I’m not the silly romantic you think. I don’t want the heavens or the shooting stars. I don’t want gemstones or gold. I have those things already. I want…a steady hand. A kind soul. I want to fall asleep, and wake, knowing my heart is safe. I want to love, and be loved.”",― Shana Abe,romance,"[' love, romance']"
9,"“I have a history of making decisions very quickly about men. I have always fallen in love fast and without measuring risks. I have a tendency not only to see the best in everyone, but to assume that everyone is emotionally capable of reaching his highest potential. I have fallen in love more times than I care to count with the highest potential of a man, rather than with the man himself, and I have hung on to the relationship for a long time (sometimes far too long) waiting for the man to ascend to his own greatness. Many times in romance I have been a victim of my own optimism.”","― Elizabeth Gilbert, Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",romance,"[' disappointment, love, romance']"
