,Quote,Author,Main Tag,Other Tags
0,"“Success is not final, failure is not fatal: it is the courage to continue that counts.”",― Winston S. Churchill,success,"[' bravery, courage, failure, inspirational, success']"
1,"“He has achieved success who has lived well, laughed often, and loved much;","Who has enjoyed the trust of pure women, the respect of intelligent men and the love of little children;",success,"[' life, misattributed-to-emerson, success, widely-misattributed']"
2,"“I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”",― Herbert Bayard Swope,success,"[' failure, inspirational, misattributed-bill-cosby, success']"
3,"“If at first you don't succeed, try, try again. Then quit. No use being a damn fool about it.”",― W.C. Fields,success,"[' humor, success']"
4,“Try not to become a man of success. Rather become a man of value.”,― Albert Einstein,success,"[' adulthood, success, value']"
5,“It is better to fail in originality than to succeed in imitation.”,― Herman Melville,success,[' success']
6,“Dare to Be,,success,"[' compassion, dare-to-be, gratitude, inspirational, life, motivational, seize-the-day, smile, success']"
7,"“Success is not how high you have climbed, but how you make a positive difference to the world.”","― Roy T. Bennett, The Light in the Heart",success,"[' inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, leader, leadership, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, success']"
8,"“So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you'll move mountains.”","― Dr. Seuss, Oh, The Places You'll Go!",success,"[' humor, inspirational, success']"
9,"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",― Steve Maraboli,success,"[' destiny, happiness, history, inspirational, let-go, letting-go, life, motivational, moving-on, success']"
10,"“Success is getting what you want, happiness is wanting what you get”",― W. P. Kinsella,success,"[' happiness, success']"
11,“Failure is the condiment that gives success its flavor.”,― Truman Capote,success,"[' experience, failure, metaphor, success, wisdom']"
12,“Have no fear of perfection - you'll never reach it.”,― Salvador Dali,success,"[' failure, fear, imperfection, mistakes, perfection, success']"
13,“Success is stumbling from failure to failure with no loss of enthusiasm.”,― Winston S. Churchill,success,"[' failure, persistence, success']"
