,Quote,Author,Main Tag,Other Tags
0,“Time you enjoy wasting is not wasted time.”,"― Marthe Troly-Curtin, Phrynette Married",time,"[' happiness, misattributed-john-lennon, procrastination, time']"
1,"“I wish it need not have happened in my time,"" said Frodo.","""So do I,"" said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”",time,"[' adventuring, death, time']"
2,“There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.”,"― Sarah Dessen, Just Listen",time,"[' just-litsen, sarah-dessen, time']"
3,“Time flies like an arrow; fruit flies like a banana.”,― Anthony G. Oettinger,time,"[' humor, misattributed-to-groucho-marx, time']"
4,"“Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",― Roy T. Bennett,time,"[' anger, grudge, happiness, happy, inspiration, inspirational, inspirational-quotes, inspire, inspiring, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, regret, time, worry']"
5,"“It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.”",― Rose Fitzgerald Kennedy,time,"[' healing, pain, remembrance, scars, time']"
6,“It is the time you have wasted for your rose that makes your rose so important.”,"― Antoine de Saint-Exupéry, The Little Prince",time,"[' caring, inspirational, love, roses, time']"
7,“Books have a unique way of stopping time in a particular moment and saying: Let’s not forget this.”,― Dave Eggers,time,"[' books, time']"
8,“Top 15 Things Money Can’t Buy,Time. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.”,time,"[' character, class, common-sense, dignity, happiness, health, inner-peace, inspiration, inspirational, inspirational-quotes, integrity, life, life-quotes, love, manners, money, morals, patience, respect, time, trust']"
9,“How did it get so late so soon?”,― Dr. Seuss,time,"[' afternoon, december, flewn, june, late, night, soon, time']"
10,“Don't waste your time with explanations: people only hear what they want to hear.”,― Paulo Coelho,time,"[' attitude, explain, gossip, life, people, public-opinion, time, wisdom']"
11,“Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin.”,― Mother Theresa,time,"[' carpe-diem, future, past, present, time']"
12,"“For what it’s worth: it’s never too late or, in my case, too early to be whoever you want to be. There’s no time limit, stop whenever you want. You can change or stay the same, there are no rules to this thing. We can make the best or the worst of it. I hope you make the best of it. And I hope you see things that startle you. I hope you feel things you never felt before. I hope you meet people with a different point of view. I hope you live a life you’re proud of. If you find that you’re not, I hope you have the courage to start all over again.”","― Eric Roth, The Curious Case of Benjamin Button Screenplay",time,"[' benjamin-button, change, courage, time']"
13,“You can have it all. Just not all at once.”,― Oprah Winfrey,time,"[' dreams, life, time']"
14,"“Don't spend time beating on a wall, hoping to transform it into a door. ”",― Coco Chanel,time,"[' failure, success, time']"
15,"“Time doesn’t heal emotional pain, you need to learn how to let go.”","― Roy T. Bennett, The Light in the Heart",time,"[' heal, inspiration, inspirational, inspirational-quotes, learning, let-go, letting-go, letting-go-of-the-past, life, life-quotes, pain, spiritual, time']"
16,“Time is the longest distance between two places.”,"― Tennessee Williams, The Glass Menagerie",time,"[' distance, time']"
17,"“They say time heals all wounds, but that presumes the source of the grief is finite”","― Cassandra Clare, Clockwork Prince",time,"[' grief, healing, magnus-bane, time, will-herondale']"
18,"“They always say time changes things, but you actually have to change them yourself.”","― Andy Warhol, The Philosophy of Andy Warhol",time,"[' change, initiative, time']"
19,"“They say I'm old-fashioned, and live in the past, but sometimes I think progress progresses too fast!”",― Dr. Seuss,time,"[' life, time']"
20,“A man who dares to waste one hour of time has not discovered the value of life.”,"― Charles Darwin, The Life & Letters of Charles Darwin",time,"[' dare, inspirational, life, science, time, value, waste']"
21,“I sit beside the fire and think,Of all that I have seen,time,"[' life, time']"
22,“This is a new year. A new beginning. And things will change.”,― Taylor Swift,time,"[' change, fresh-starts, new-beginnings, reinvention, time']"
23,“Scars have the strange power to remind us that our past is real.”,"― Cormac McCarthy, All the Pretty Horses",time,"[' healing, injuries, memory, past, reality, scars, time']"
24,"“Unfortunately, the clock is ticking, the hours are going by. The past increases, the future recedes. Possibilities decreasing, regrets mounting.”","― Haruki Murakami, Dance Dance Dance",time,"[' clock, future, past, possibilities, ticking, time']"
25,"“Here we are, trapped in the amber of the moment. There is no why.”",― Kurt Vonnegut,time,"[' reason, time']"
