,Quote,Author,Main Tag,Other Tags
0,"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",― Marilyn Monroe,truth,"[' attributed-no-source, best, life, love, mistakes, out-of-control, truth, worst']"
1,"“If you tell the truth, you don't have to remember anything.”",― Mark Twain,truth,"[' lies, lying, memory, truth']"
2,“The reason I talk to myself is because I’m the only one whose answers I accept.”,― George Carlin,truth,"[' humor, insanity, lies, lying, self-indulgence, truth']"
3,"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","― Jess C. Scott, The Intern",truth,"[' desire, emotion, friendship, honesty, imagination, individuality, life, love, passion, reality, relationships, romance, truth, wisdom, wise-words']"
4,“The truth is rarely pure and never simple.”,"― Oscar Wilde, The Importance of Being Earnest",truth,[' truth']
5,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”","― J.K. Rowling, Harry Potter and the Sorcerer's Stone",truth,[' truth']
6,“A lie can travel half way around the world while the truth is putting on its shoes.”,― Mark Twain,truth,"[' misattributed-mark-twain, truth']"
7,“Never tell the truth to people who are not worthy of it.”,― Mark Twain,truth,[' truth']
8,“Perhaps one did not want to be loved so much as to be understood.”,"― George Orwell, 1984",truth,[' truth']
9,"“The truth will set you free, but first it will piss you off.”","― Joe Klaas, Twelve Steps to Happiness",truth,"[' anger, freedom, misattributed-gloria-steinem, truth']"
10,"“When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”",― Mahatma Gandhi,truth,"[' despair, evil, goodness, inspirational, love, sadness, truth, victory']"
11,“I am not pretty. I am not beautiful. I am as radiant as the sun.”,"― Suzanne Collins, The Hunger Games",truth,[' truth']
12,“Facts do not cease to exist because they are ignored.”,"― Aldous Huxley, Complete Essays, Vol. II: 1926-1929",truth,"[' fact, ignorance, truth']"
13,"“Above all, don't lie to yourself. The man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. And having no respect he ceases to love.”","― Fyodor Dostoevsky, The Brothers Karamazov",truth,"[' lies, love, respect, self-deception, truth']"
14,"“I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?”",― John Lennon,truth,"[' beatles, dragons, dreamers, dreaming, dreams, fairies, faith, mythology, nightmares, reality, truth']"
15,“In a time of deceit telling the truth is a revolutionary act.”,― George Orwell,truth,[' truth']
16,“A thing is not necessarily true because a man dies for it.”,― Oscar Wilde,truth,"[' belief, death, ideals, martyr, truth']"
17,"“Here's all you have to know about men and women: women are crazy, men are stupid. And the main reason women are crazy is that men are stupid.”","― George Carlin, When Will Jesus Bring The Pork Chops?",truth,"[' crazy, men, stupid, truth, women']"
18,“Books are mirrors: you only see in them what you already have inside you.”,"― Carlos Ruiz Zafón, The Shadow of the Wind",truth,"[' books, reading, truth']"
19,“The unexamined life is not worth living.”,― Socrates,truth,"[' inspiration, truth, wisdom']"
20,"“Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.”",― Oscar Wilde,truth,[' truth']
21,"“Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.”",― Winston S. Churchill,truth,[' truth']
22,“Be mindful. Be grateful. Be positive. Be true. Be kind.”,"― Roy T. Bennett, The Light in the Heart",truth,"[' gratitude, inspiration, inspirational, inspirational-quotes, kindness, life, life-and-living, life-quotes, living-life, mindful, mindfulness, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, truth']"
23,“I lie to myself all the time. But I never believe me.”,"― S.E. Hinton, The Outsiders",truth,"[' lies, lying, self-deception, truth']"
24,"“Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. If people all over the world...would do this, it would change the earth.”",― William Faulkner,truth,"[' advocacy, dissent, protest, truth, truth-telling']"
25,"“Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.”","― Mark Twain, Following the Equator: A Journey Around the World",truth,"[' books, truth']"
26,“The truth does not change according to our ability to stomach it.”,― Flannery O'Connor,truth,[' truth']
27,"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”","― Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience",truth,"[' forgiveness, inspirational, letting-go, life, motivational, moving-forward, truth']"
28,"“Rather than love, than money, than fame, give me truth.”","― Henry David Thoreau, Walden",truth,"[' truth, values']"
29,"“The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”",― Kalu Ndukwe Kalu,truth,"[' hope, inspiration, inspirational, life, truth']"
30,"“Tell the truth, or someone will tell it for you.”","― Stephanie Klein, Straight Up and Dirty",truth,"[' humor, life, memoir, truth']"
31,“Art is the lie that enables us to realize the truth.”,― Pablo Picasso,truth,"[' art, truth']"
32,“The best way to find out if you can trust somebody is to trust them.”,― Ernest Hemingway,truth,"[' trust, truth']"
33,"“The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.”",― Jim MORRISON,truth,"[' freedom, individuality, inspirational, mask, personality, revolution, truth']"
34,"“There are no facts, only interpretations.”",― Friedrich Nietzsche,truth,"[' perspective, truth']"
35,"“The more I see, the less I know for sure.”",― John Lennon,truth,"[' beatles, life, perception, truth']"
36,“It's enough for me to be sure that you and I exist at this moment.”,"― Gabriel García Márquez, One Hundred Years of Solitude",truth,"[' existence, truth']"
37,“All you have to do is write one true sentence. Write the truest sentence that you know.”,― Ernest Hemingway,truth,"[' truth, writing, writing-advice']"
38,"“There are three types of lies -- lies, damn lies, and statistics.”",― Benjamin Disraeli,truth,"[' attributed-no-source, lies, lying, misattributed-mark-twain, statistics, truth']"
39,"“The beginning of love is the will to let those we love be perfectly themselves, the resolution not to twist them to fit our own image. If in loving them we do not love what they are, but only their potential likeness to ourselves, then we do not love them: we only love the reflection of ourselves we find in them”","― Thomas Merton, No Man Is an Island",truth,"[' friendship, love, self-discovery, trust, truth']"
40,"“So you're always honest,"" I said.","""Aren't you?""",truth,"[' lies, truth']"
41,“If you do not tell the truth about yourself you cannot tell it about other people.”,― Virginia Woolf,truth,"[' honesty, lies, stories, truth']"
42,"“If you want to tell people the truth, make them laugh, otherwise they'll kill you.”",― George Bernard Shaw,truth,"[' kill, laughter, misattributed-oscar-wilde, truth']"
43,“The past has no power over the present moment.”,― Eckhart Tolle,truth,"[' education, inspirational, life, philosophy, truth, wisdom']"
44,“A truth that's told with bad intent,Beats all the lies you can invent.”,truth,"[' lies, logic, philosophy, religion, truth']"
45,"“I have learned now that while those who speak about one's miseries usually hurt, those who keep silence hurt more.”",― C. S. Lewis,truth,"[' hurt, lewis, misery, sad, truth']"
46,"“No persons are more frequently wrong, than those who will not admit they are wrong.”",― François de La Rochefoucauld,truth,"[' cynical, life, truth']"
47,“Illegal aliens have always been a problem in the United States. Ask any Indian.”,― Robert Orben,truth,"[' humour, politics, truth']"
48,"“Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.”","― Marcus Aurelius , Meditations",truth,[' truth']
49,“Thinking something does not make it true. Wanting something does not make it real.”,"― Michelle Hodkin, The Unbecoming of Mara Dyer",truth,"[' inspirational-quotes, mara-dyer, reality, truth']"
50,“Better a cruel truth than a comfortable delusion.”,― Edward Abbey,truth,[' truth']
51,“The truth will set you free. But not until it is finished with you.”,"― David Foster Wallace, Infinite Jest",truth,"[' freedom, truth']"
52,"“To be fully seen by somebody, then, and be loved anyhow - this is a human offering that can border on miraculous.”","― Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage",truth,"[' acceptance, being-loved, love, marriage, relationships, truth']"
53,"“All good books are alike in that they are truer than if they had really happened and after you are finished reading one you will feel that all that happened to you and afterwards it all belongs to you: the good and the bad, the ecstasy, the remorse and sorrow, the people and the places and how the weather was. If you can get so that you can give that to people, then you are a writer.”",― Ernest Hemingway,truth,"[' authors, good-books, truth, writers']"
54,“The only truth is music.”,― Jack Kerouac,truth,"[' music, truth']"
55,“Most men would rather deny a hard truth than face it.”,"― George R.R. Martin, A Game of Thrones",truth,"[' denial, honesty, truth']"
56,"“Usually we walk around constantly believing ourselves. ""I'm okay"" we say. ""I'm alright"". But sometimes the truth arrives on you and you can't get it off. That's when you realize that sometimes it isn't even an answer--it's a question. Even now, I wonder how much of my life is convinced.”","― Markus Zusak, The Book Thief",truth,[' truth']
57,“It is better to offer no excuse than a bad one.”,― George Washington,truth,"[' confession, excuses, honesty, lies, lying, truth']"
58,“Sometimes it takes a good fall to really know where you stand”,― Hayley Williams,truth,"[' falling, knowing, lesson-on-living, life, paramore, singer, stand, success, truth, understanding']"
59,"“All right,"" said Susan. ""I'm not stupid. You're saying humans need... fantasies to make life bearable.""",,truth,"[' belief, justice, lies, mercy, truth']"
60,“That's what fiction is for. It's for getting at the truth when the truth isn't sufficient for the truth.”,― Tim O'Brien,truth,"[' fiction, on-fiction, stories, truth, writing']"
61,"“It is difficult, when faced with a situation you cannot control, to admit you can do nothing.”","― Lemony Snicket, Horseradish",truth,[' truth']
62,"“When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.”",― Kahlil Gibran,truth,"[' delight, heart, sorrow, truth, weeping']"
