screen_name,text,created_at
gz_zxz,"@EvanWoods Death is an unpredictable thing,",2023-01-21 16:33:51+00:00
BlamingBuddha,@EvanWoods @OwlRetweets @sme_rt @BlazedRTs @PromoteAMGamers @StreamersRtw @Rts_WW @SupStreamers @RetweetOnTwitch Th… https://t.co/DFs8IqtBYa,2023-01-19 18:49:58+00:00
Empress_Felinia,@EvanWoods *hugs*,2023-01-17 15:23:02+00:00
Bin_Ashry_M_H,"@EvanWoods @__M5__ @WimShakespeare Amazing, you understood my #Tweet01, written in #Arabic, yet you responded in… https://t.co/D4P4YaMV5N",2023-01-17 12:05:53+00:00
MooodSpoiler,@EvanWoods Agreed🤗,2023-01-17 07:01:42+00:00
Wipibtw,"@EvanWoods @JanCrl_ @emilianolpezr @alecpnn Mi compa el poeta, feliz lunes, gracias por tus buenos deseos mi estimado",2023-01-17 01:23:38+00:00
emotionlesspers,@EvanWoods @MegsDreamDesign I geuss,2023-01-16 16:35:04+00:00
Q_uillman,@EvanWoods 🔥🔥🔥,2023-01-16 10:53:07+00:00
jonna88_,@EvanWoods Thanks!,2023-01-16 10:48:48+00:00
lillybunkers,@EvanWoods @KahlinSwanson true🙌,2023-01-15 22:46:42+00:00
noturbiatchboss,"@EvanWoods Thank you ❤️. I love to learn ,I love to share my knowledge but the system is corrupt. If I could go tom… https://t.co/yS9waB6bo4",2023-01-13 17:11:37+00:00
miahwebb,@EvanWoods I LOVE it! I'll watch the clip later today!!!,2023-01-13 12:13:11+00:00
theykillher,@EvanWoods 🫂,2023-01-13 00:44:44+00:00
ReaderApex,,
klakhani,,
PyTorch,,
paperswithcode,,
StefanieJegelka,,
iliza,,
BarackObama,,
wesruss,,
Miss_SAnonymous,,
PythonLibHunt,,
CDCgov,,
SarahKSilverman,,
LambdaAPI,,
jessica_kirsh,,
NatGeo,,
WHO,,
NASA_Astronauts,,
Python_Dv,,
PythonPr,,
fastdotai,,
jockowillink,,
save_me2022,,
ProfFeynman,,
flama_blanca88,,
OracleOfIberia,,
KimchiNoodles9,,
dyr_eng,,
MarkRober,,
MrBeast,,
pyquantnews,,
amli_art,,
TomLikesRobots,,
1null1,,
ScottieFoxTTV,,
mariofilhoml,,
polynoamial,,
inspiration4x,,
anacondainc,,
_Lia27,,
AOC,,
realshinyakato,,
Space_Station,,
Shift4,,
VirtusanApp,,
gvanrossum,,
usedgov,,
talkswithcece,,
raykurzweil,,
TRANSCEND_9,,
charlottejee,,
jamesvlahos,,
karpathy,,
codemiko,,
balajis,,
AlbertEinstein,,
agilityrobotics,,
BotJunkie,,
grok_,,
IAmSteveHarvey,,
WhiteHouse,,
VisualSnowInit,,
TeslaAIBot,,
Harvard,,
MIT,,
richardbranson,,
CBP,,
SecretService,,
DeptofDefense,,
ArmyChiefStaff,,
NSAGov,,
USCG,,
USNationalGuard,,
FBI,,
USCIS,,
DHSgov,,
InsideTracker,,
KevinHart4real,,
Kirsten_Hilger,,
spornslab,,
rjhaier,,
TensorFlow,,
hubermanlab,,
kaliouby,,
Google,,
chrishemsworth,,
DanReynolds,,
StJude,,
jakeshieldsajj,,
tomdelonge,,
JeremyClarkson,,
MrJamesMay,,
RichardHammond,,
rookisaacman,,
ArceneauxHayley,,
PolarisProgram,,
GuidesJava,,
itsandreabotez,,
alexandrabotez,,
stack_wild,,
year_progress,,
java,,
neiltyson,,
sarma,,
KingJames,,
NASA,,
Astro_Jessica,,
tbonaci,,
VoiceOfOBrien,,
matthewmercer,,
Marisha_Ray,,
CriticalRole,,
samriegel,,
WillingBlam,,
LauraBaileyVO,,
splinetool,,
katebomb,,
Liv_Boeree,,
tomoxl,,
synchroninc,,
DaveChappelle,,
ReedTimmerAccu,,
SCA4CED,,
UnitedHealthGrp,,
wonderofscience,,
DalaiLama,,
clcoding,,
uncertainvector,,
EverydaySpy,,
magattew,,
davidgoggins,,
MagnusCarlsen,,
awsdevelopers,,
DeepMind,,
ID_AA_Carmack,,
micsolana,,
newlimit,,
brian_armstrong,,
kesvelt,,
DavidIshee7,,
salkhanacademy,,
johnlegend,,
LordMartinRees,,
dogecoin,,
DojoTesla,,
joerogan,,
NASAWebb,,
OpenAI,,
StarfieldGame,,
neuralink,,
Tesla,,
SpaceX,,
lexfridman,,
elonmusk,,
