"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2022-12-25","1","13","2","0.15384615384615385","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-12-26","2","63","2","0.031746031746031744","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-12-27","2","68","2","0.029411764705882353","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-12-28","3","49","10","0.20408163265306123","0","0","2","5","0","0","3","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-12-29","1","13","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-12-30","2","178","2","0.011235955056179775","0","0","0","0","1","0","1","0","0","0","0","0","0","5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2022-12-31","5","152","9","0.05921052631578947","0","1","4","2","1","0","1","0","0","0","0","0","0","6","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-01","68","851","71","0.08343125734430082","0","4","27","30","0","0","10","0","0","0","0","0","0","5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-02","1","207","2","0.00966183574879227","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-03","11","199","12","0.06030150753768844","1","4","3","0","1","0","3","0","0","0","0","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-04","108","1390","116","0.08345323741007195","4","9","33","52","0","0","14","0","0","0","2","0","0","6","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-05","71","1176","91","0.07738095238095238","3","8","28","38","1","0","13","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-06","59","1097","62","0.056517775752051046","1","5","18","25","0","0","12","0","0","0","0","0","0","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-07","97","679","58","0.08541973490427099","0","6","16","26","0","0","10","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-08","86","1033","77","0.07454017424975799","3","6","23","32","1","0","12","0","0","0","0","0","0","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-09","52","1536","59","0.038411458333333336","0","4","10","33","0","0","10","0","0","0","2","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-10","76","1156","83","0.07179930795847751","2","6","29","33","0","0","13","0","0","0","0","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-11","122","1339","108","0.08065720687079911","9","9","40","35","0","0","15","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-12","58","753","32","0.04249667994687915","1","2","12","10","0","0","7","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-13","75","812","67","0.08251231527093596","2","4","16","31","1","0","12","0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-14","43","926","39","0.042116630669546434","2","2","13","13","0","0","8","0","0","0","0","0","0","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-15","42","593","25","0.04215851602023609","0","1","4","14","0","0","6","0","0","0","0","0","0","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-16","0","834","73","0.08752997601918465","1","4","23","27","0","0","17","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-17","0","370","25","0.06756756756756757","0","5","7","5","0","0","7","0","0","0","1","0","0","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-18","0","748","30","0.040106951871657755","0","0","9","11","1","0","6","0","0","0","1","0","0","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-19","0","357","23","0.06442577030812324","0","1","9","8","0","0","4","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-20","1","396","18","0.045454545454545456","1","0","10","6","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2023-01-21","0","197","4","0.02030456852791878","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
